,Video title,Comments
60,How I Would Learn Data Science (If I Had to Start Over),"Hello. Great Advice Ken!
I am an Industrial Engineer that got into Data science by my senior year. Honestly I have not completed a single project as of yet. Now I am taking it more seriously and organizing a proper plan to achieve my goal of being a data analyst and then a  scientist.
Currently I am learning Tableau and how to do Data Analysis on it, while I plan to put a single day of every week on a data science project and finally come out to be a Data Scientist InshAllah"
61,How I Would Learn Data Science (If I Had to Start Over),"so helpful and informative, your video. so i do get bored at learning before applying, instead i prefer learning on the go. with said, how do i find data science project to learn from if you may guide me? thank you"
62,How I Would Learn Data Science (If I Had to Start Over),Any possible combination for being a data analyst  after doing ACCA ?? Please reply.
63,How I Would Learn Data Science (If I Had to Start Over),"Nice video, but I do feel the need to mention Annie Duke is a scammer"
64,How I Would Learn Data Science (If I Had to Start Over),Sir want your guidance. I just passed my high school. Can i apply for data scientist or data analytics through online courses or should I have degree.????????plz ans
65,How I Would Learn Data Science (If I Had to Start Over),"The fact that you just said , ""the first thing to know is programming"" shows the level or lack of your mathematical understanding behind the concepts of something which might seem to be as trivial as linear regression. However, most if not all credible data scientists know the complexity of math behind the aforementioned concept , ranging from intercept interpretation to exchanging penalties with constraints in regularized models which will branch out to more non linear models like svm's using KKT theorem.. Please stop misleading people like this...
Regards,
A novice Data Scientist."
66,How I Would Learn Data Science (If I Had to Start Over),"Hey,
I have submitted my PhD . I am from bioinformatics background. I want to get into Data Science. Can you suggest me projects or a post doc experience to start off. I have previous knowledge of biostatistics, python , R. Which I am working on again to be ready . Thanks for such beautiful explanations and making things easy to grab through ur channel though."
67,How I Would Learn Data Science (If I Had to Start Over),Thanks Ken!
68,How I Would Learn Data Science (If I Had to Start Over),I just came across your channel - you are awesome for sharing this information! Hopefully I can get to this one day :)
69,How I Would Learn Data Science (If I Had to Start Over),"I don't have CS degree background 
Can I become data scientist ?😕"
70,How I Would Learn Data Science (If I Had to Start Over),"Sir if i have 4-5 years of experience as business analyst, can i become a data scientist?"
71,How I Would Learn Data Science (If I Had to Start Over),Is the whole series of kaggle learn sufficient to start competition at Kaggle?
72,How I Would Learn Data Science (If I Had to Start Over),"I really want to learn data science because I find it really fascinating and I want to become a data scientist when i grow (im still in school tho but I want to learn basics)
But I'm confused whether should I start learning python or statistics
If would be great if someone told me!"
73,How I Would Learn Data Science (If I Had to Start Over),"Awesome video. But, caveat is not a verb."
74,How I Would Learn Data Science (If I Had to Start Over),"1 MILLION VIEWS!!

Congrats Ken on your first video hitting 1 million views!!

To anyone who stumbles across this video, I would NOT have recently obtained my data science job if it weren't for Ken's YouTube tutorials! 

If your trying to break into data science, SUBSCRIBE to this channel now!!  It is your one stop shop that'll teach you everything even if you're starting as a beginner.

 I'm living proof and if I can do it, so can you!!"
75,How I Would Learn Data Science (If I Had to Start Over),Thanks for this video Ken. I almost gave up on data science but that's because I understood how bad my approach was after watching this video. Will try it your way and I'm sure I'll make progress. Thanks!
76,How I Would Learn Data Science (If I Had to Start Over),"Dear bro,             i like your explanation of things alongwith you back daily routing chart.

good day bro and going............."
77,How I Would Learn Data Science (If I Had to Start Over),Great. Liked the clean chart about 'Plan of Action'. Good.
78,How I Would Learn Data Science (If I Had to Start Over),"Hello Ken,
May the Creator bless you, Amen.
I am 57 and need advice for starting over.
Academician, Trainer, Finance, and IT with degrees in Physics and Information Systems (we worked on IBM-4330 series machines, using COBOL) back in 80s.
Did substantial coding jobs (GW-BASIC and Foxbase 1990-2002, sometimes working through entire night). 
Reasonable good with numbers, Arithmetic, and Excel. 
Done some consultancy work in the areas of Banking and Finance for Asian Development Bank.
I think I can put in 4-5 hours every day.
Goal - International Consultancy by July 2022.
Need Brutal analysis, please."
79,How I Would Learn Data Science (If I Had to Start Over),I've done my graduation in IT and I plan on doing data science. I'm going to pursue masters in computer science and pursue data science through online courses...what do u think of that
80,How I Would Learn Data Science (If I Had to Start Over),"Congrats for 1M views! Many more to come, discovering your channel has been a blessing for me:)"
81,How I Would Learn Data Science (If I Had to Start Over),I'm very new to this but noticed you mentioned R for sports which is relevant to my interests. Is this for things like advanced analytics teams use or gambling models? Thanks for the video!
82,How I Would Learn Data Science (If I Had to Start Over),"Hi Ken, how do you go about asking the right questions and formulating good problems to solve when you come across a new domain? Would love to know your process"
83,How I Would Learn Data Science (If I Had to Start Over),"I'm trying so hard everyday , as day passes I feel I forgot what I have learnt  ,I have already at it for a year and have a Post Graduate once I have completed ML and NLP but still not confident and cannot recall mainly NLP concepts , yet to do Deep Learning...really tough time , but I'm sure If I keep on at it I will crack it !! In three months my goal is to revise some 10 projects and deploy using flask ,testing in postmaster , exploring hiroku , NLP and Deep Learning will definitely down my life  for sure !! But doing all this with a full job is even more horrible and keep drowning me ......"
84,How I Would Learn Data Science (If I Had to Start Over),Congratulations for 1 Million views 👏🙌
85,How I Would Learn Data Science (If I Had to Start Over),I studied BBA(UG) can i study data science
86,How I Would Learn Data Science (If I Had to Start Over),shit man...! you are replying to all the comments from last 1 year...orz
87,How I Would Learn Data Science (If I Had to Start Over),Thanks. I have also started exploring kaggle and learning new things.
88,How I Would Learn Data Science (If I Had to Start Over),woooo!!! 1 million views. congrats!
89,How I Would Learn Data Science (If I Had to Start Over),Where do I even start lol
90,How I Would Learn Data Science (If I Had to Start Over),"i'm 20, have had a crush on someone for 13 years, and got rejected, i cannot get over it, i do not know how to deal with it, but i do know one thing, i am going to make it solid and big here, thank you for these videos, not only do they help with learning, but watching someone talk about things you base your life upon is really soothing. Please keep up the good work, i owe every bit of my learning to you youtubers, the literal OGs."
91,How I Would Learn Data Science (If I Had to Start Over),Thanks for all the tips!
92,How I Would Learn Data Science (If I Had to Start Over),Love this! Thank you for sharing.
93,How I Would Learn Data Science (If I Had to Start Over),Please. No bed on a background. It's gross.
94,How I Would Learn Data Science (If I Had to Start Over),Challenge accepted will try and master data science in 6 months
95,How I Would Learn Data Science (If I Had to Start Over),"Thanks for your video, I've learned a lot"
96,How I Would Learn Data Science (If I Had to Start Over),My goal for this year is to find a data scientist internship....
97,How I Would Learn Data Science (If I Had to Start Over),"Do you think an undergraduate degree in data science is worth doing if its something that interests me? I don't reckon you're too familiar with many uk univerisites (my bad if i am mistaken) but i have an offer to study data science at warwick, and an offer to study computer science at manchester - the main reason i consider the data science degree is because i like the look of it a lot, but if i keep an interest in coding (though the degree has a lot of options for coding modules within it already), that I won't really be doing myself any wrong picking the data science undergrad over the computer science undergrad? My main concern is only that a cs grad may be viewed slightly more preferable in a range of places just by degree name, but i dont know if thats true or not"
98,How I Would Learn Data Science (If I Had to Start Over),"Employers dont care about Kaggle, because they aren’t real business problems to solve just a way to practice machine learning"
99,How I Would Learn Data Science (If I Had to Start Over),"*opens the video*
*sees windows on his desktop*
*leaves*"
100,How I Would Learn Data Science (If I Had to Start Over),You gave such great advice. Thank you!
101,How I Would Learn Data Science (If I Had to Start Over),I just signed up for Kaggle.  Let's get started!
102,How I Would Learn Data Science (If I Had to Start Over),"This is the video I have been looking for!  Thank you!  I am going to come up with an algorithm to help me with my fantasy football draft this year.  A tall order, I know, but I have a couple of months.  We will see."
103,How I Would Learn Data Science (If I Had to Start Over),Love 365 data science!
104,How I Would Learn Data Science (If I Had to Start Over),I finished masters in physics.  AM I able to learn data science ? Now I just  know basic python programming and very little machine learning. Please tell me how I can grow in this field
105,How I Would Learn Data Science (If I Had to Start Over),"Hi I'm doing Bachelor's in IT. I'm very much interested in Data Science. I've just started my data science journey. I've decided to study Statistics, Algebra, Data Visualization, MLA online through some courses. Will it be a good start?? And would I be able to get a job after graduation in Data science??"
106,How I Would Learn Data Science (If I Had to Start Over),"Hey Ken -
I'm considering pulling the trigger on investing in 365 Data Science.  It seems comprehensive and very reasonably priced.  A lot of comm colleges I've looked at don't seem offer too many of these types of courses.  While most of them have Calc 1 - III, they seem to be lacking in other areas (like data structures and stats courses beyond elementary stats).  I realize they are only two year programs.  Any insight regarding which CCs might be offering a more Data Science specific majors at some point in the near future?  Would a comp sci program be of any use?
I have been getting a lot out of working through some of these Kaggle projects.  Honestly, just looking through the comments, code, and how previous projects were built are extremely helpful.  (Your Titantic project example is certainly among them).  
I apologize for bombarding you with these long-winded questions.  I do, however, greatly appreciate the insight you pump out via YouTube. 
 As difficult as this material can be, I do find your words and wisdom inspiring.  It's also nice to see occasional rays of light while sifting through all these reams of data, code, algorithms, and math.  It does spark ideas in my ""not-so-mathematically-inclined"" brain.
Thanks again"
107,How I Would Learn Data Science (If I Had to Start Over),I am newbie to Data science and carry no prior knowledge. Is there any course that I could take up to learn basics?
108,How I Would Learn Data Science (If I Had to Start Over),Is data scientist a dying career?
109,How I Would Learn Data Science (If I Had to Start Over),New subscriber here. Great video. Thank you for posting.
110,How I Would Learn Data Science (If I Had to Start Over),What is the relationship between excel certifications and data science?
111,How I Would Learn Data Science (If I Had to Start Over),please who got a job  in data science without  a master degree
112,How I Would Learn Data Science (If I Had to Start Over),Sir do we really need to go for a MSC degree if we do learn all theses things u mentioned ? . Please reply sir 🙏
113,How I Would Learn Data Science (If I Had to Start Over),This is literally road into nowhere.
114,How I Would Learn Data Science (If I Had to Start Over),"Get professional free data science courses
https://youtube.com/channel/UCBtOvx6gen_SlIjKtWdQZmw"
115,How I Would Learn Data Science (If I Had to Start Over),"Hey man great content would you recommend taking the major ""data science"" itself"
116,How I Would Learn Data Science (If I Had to Start Over),"Thanks for the tips Ken, especially on studying 30 min to 3 hours blocks.  I started using Data Camp to learn about data science and have no idea what to do for beginner projects.  Then I saw you had a video on this for kaggle.  Definitely am going to check it out."
117,How I Would Learn Data Science (If I Had to Start Over),"Explained here well!. I have 2 yrs as DA n last yr became DS. the amount of options you unlock by learning ml algos, stats, tools, visuals is endless. As a side hobby I'm developing predictive modelling on stock market data being a swing n long investor, pretty accurate estimates though. just need to include fundamental analysis n company prospects on top of it to make a call, earning good profits too. Its actually amazing we can do loads of stuff with Data Science, find out your passion n work on it!"
118,How I Would Learn Data Science (If I Had to Start Over),Nice try Kylo Ren
119,How I Would Learn Data Science (If I Had to Start Over),Can you suggest a more reliable and dependable IDE for data science please?
120,How I Would Learn Data Science (If I Had to Start Over),"I have started to learn Data Science. My goal would be: 
1. To clear all my theoretical concepts about Data Science. 
2. Spend time on R and Python everyday for about an hour. 
3. Build some models myself and go through at least one case study everyday. 

ETA - 4 months."
121,How I Would Learn Data Science (If I Had to Start Over),I was wondering if goinge to a data science bachelor would bet the right path
122,How I Would Learn Data Science (If I Had to Start Over),I'm a first year BBA student who's planning on transferring next year(so after my third or fourth semester) into a bachelor's of data science. It might take longer than normal to get the degree but yea I'm planning on doing that. What's something you suggest?
123,How I Would Learn Data Science (If I Had to Start Over),"Nice wallpaper on desktop , got the link to it. :D"
124,How I Would Learn Data Science (If I Had to Start Over),"I want to know how to start my journey from class 12. Yeah i have to do engineering first then graduation in CS. But I dont want to do engineering, its a bit absurd but is there any other way to do anything in computer field without doing Engineering. If yes, then please explain me right from the start i.e. after my highschool."
125,How I Would Learn Data Science (If I Had to Start Over),"I 'm doing research in linguistics and I 've realised I need skills in organizing data properly. So, some time ago I  became interested in data science. So far, I 've gone over some online lectures in statistics for data science and found myself really passionate about. I would like to proceed in the field but.. as I 'm not an undergraduate age person at all, after watching your video, I feel that's a too challenging road for me, and, unfortunately, I might appear to be quite old for that matter. Despite the fact people say that having proficiency in three foreign languages like I do may be an advantage in job hunting process in this area. What's your view.. Is it worth investing time in it..?)"
126,How I Would Learn Data Science (If I Had to Start Over),"I am venturing into Data Science field, hope this Video will help as it is my initial phase. Earlier I was working in travel industry in Product & Operations dept. (for 6-7 years). And pandemic proved need to do something else or more constructive by changing field to Technical."
127,How I Would Learn Data Science (If I Had to Start Over),I study linguistics and want to use data science to make sense of data collected. Make it presentable and useful for my future employees.
128,How I Would Learn Data Science (If I Had to Start Over),Which python IDE are you using? and which OS? I think that's also an important part of learning data science. I used macos then windows and now linux. I wasted so many hours trying to fix setting up environment/framework details..
129,How I Would Learn Data Science (If I Had to Start Over),How about Julia vs Python or R?
130,How I Would Learn Data Science (If I Had to Start Over),Thank you for this!
131,How I Would Learn Data Science (If I Had to Start Over),Could you please recommend some basic project on which one can work
132,How I Would Learn Data Science (If I Had to Start Over),"You man give some hope, because learning is really never ending and unless you hear it from an expert, it can be really discouraging. Thanks man."
133,How I Would Learn Data Science (If I Had to Start Over),"What are some good sources for taking courses? I took a free udacity course and liked the teaching style, but it just seemed like a lot of money. I was thinking about using treehouse, but now im just all over the place and can't make my mind up"
134,How I Would Learn Data Science (If I Had to Start Over),"What do you think of Jose Portilla's and Kirill Eremenko's courses on Udemy? I'm currently taking the following:

Python A-Z™

Machine Learning A-Z™

The Complete SQL Bootcamp 2021

Could you please give your opinion on these Udemy courses, if it's not much trouble? Thank you in advance :)"
135,How I Would Learn Data Science (If I Had to Start Over),Watching the videos then reading the comments making me more excited to start.
136,How I Would Learn Data Science (If I Had to Start Over),"what a sad way to waste away an entire human life just to land a job!! it's high time that the industry starts making well defined data science roles. generally, data scientists are supposed to know the entire lot of crap and apply only a miniscule % of that knowledge in real life. i don't like the idea of living a life in this manner. need to seriously rethink data science as a career... living my life is more important for me. they ask like 20+ skillset for one position!! not worth it. it's not a creative process anymore."
137,How I Would Learn Data Science (If I Had to Start Over),One who is not good at maths can become a data scientist?
138,How I Would Learn Data Science (If I Had to Start Over),Thank you
139,How I Would Learn Data Science (If I Had to Start Over),ah the good old shill 5 more of your videos in one video
140,How I Would Learn Data Science (If I Had to Start Over),"Hello, I am struggling to choose a major. I have attained my associate of science transfer degree and need to choose a major. I think I am interested in an information science and data analysis program, but the requirements say you must already have a previous ""skill set"" with python, java, oracle, and linux, or similar to each of those. I am a first gen college student so I am extremely unfamiliar with everything basically. The counselors don't provide any helpful info about specific majors. So, can you tell me, am I supposed to study these on my own, and then apply? Do most people learn on their own, and then apply for majors involving them? I was always under the impression that most people take college courses/gain credits for these but apparently it's wrong? Isn't college for finding what you enjoy too? How would I ever know if I like data analyses and python if I've never taken an actual class on it? Sorry, I just really feel so lost right now."
141,How I Would Learn Data Science (If I Had to Start Over),Is it required to study data structures and algorithms (in depth) for data science  and machine learning?
142,How I Would Learn Data Science (If I Had to Start Over),6:22 Nice button!
143,How I Would Learn Data Science (If I Had to Start Over),"- Get familiar with R and then Python 
- Learn in depth statistics
- Apply what I learned for a better understand of sports"
144,How I Would Learn Data Science (If I Had to Start Over),"I'm a Mechanical Engineer currently in my 8 sem.  I'm interested in coding and as data science is currently in boom i decided to switch into it  but i actually don't like math i mean like it but not that much
What's your suggestion for me should i start first with math or should i first learm coding actually I've basic knowledge in c and python"
145,How I Would Learn Data Science (If I Had to Start Over),I want to make an impact though working on my area of expertise!!
146,How I Would Learn Data Science (If I Had to Start Over),"Salary will make you forget about your own dream, so do something of your own even it's a small thing and live a life of freedom rather than stuck in salary zoned.......Even working in google doesn't make one happy now a days..

Data science and Machine learning jobs are biggest scam of millenium"
147,How I Would Learn Data Science (If I Had to Start Over),"Hi Ken, Thanks for showing your goal setting and routine sheets."
148,How I Would Learn Data Science (If I Had to Start Over),His oura ring let's you know hes a data scientist
149,How I Would Learn Data Science (If I Had to Start Over),"Hi Ken Jee, really find your inputs relevant, i am starting from Data Analysis so my goals are to learn the basics then branch into SAS data programming, in time i am looking forward to Cloud data with SAS Siya and then will go into Microsoft."
150,How I Would Learn Data Science (If I Had to Start Over),"Is there a need to Pass JEE examinations(or other entrance exams) to Study Data Science (In India)?
And also can you suggest some good institutions in India Where I Can Take Data Science courses?"
151,How I Would Learn Data Science (If I Had to Start Over),"Ken Jee? No...no, it's KING JEE."
152,How I Would Learn Data Science (If I Had to Start Over),Hi Ken! Is BA in comsci good course for Data Science?
153,How I Would Learn Data Science (If I Had to Start Over),"Very well laid down.
Thank you Ken ☺️🙏🏽"
154,How I Would Learn Data Science (If I Had to Start Over),I know programming very basic .....I am facing challenges in writing code like intermediate level of programming.can you help me how to improve programming and how much is the programming necessary for data science
155,How I Would Learn Data Science (If I Had to Start Over),I'll get her email address.
156,How I Would Learn Data Science (If I Had to Start Over),If I got hit. It's for the club
157,How I Would Learn Data Science (If I Had to Start Over),Ok poor boy. We find ways.
158,How I Would Learn Data Science (If I Had to Start Over),"Thanks for this video Ken. Really impactful. Wish i saw this earlier, would have achieved a lot. But i believe it's not too late."
159,How I Would Learn Data Science (If I Had to Start Over),Great video bro
160,How I Would Learn Data Science (If I Had to Start Over),My goal is to get a job in data science
161,How I Would Learn Data Science (If I Had to Start Over),I am confused I become Data Scientist or a Navy Seal.
162,How I Would Learn Data Science (If I Had to Start Over),B.S Data science degree is it worth it?
163,How I Would Learn Data Science (If I Had to Start Over),Do you need a university degree to be a data science or could one be doing datacamp or 360datascience for example?
164,How I Would Learn Data Science (If I Had to Start Over),"Such a great video. Thank you for your time and information. I am new to your channel and here I go to subscribe. 
My biggest goal is to be a data scientist in Marine Animals World. I wish I can work with organizations that are specialized in dealing with marine world projects."
165,How I Would Learn Data Science (If I Had to Start Over),In the 365 Data science course you learn probability first... is this really that important?
166,How I Would Learn Data Science (If I Had to Start Over),"Thank you Ken.!
On my way to the top."
167,How I Would Learn Data Science (If I Had to Start Over),👍
168,How I Would Learn Data Science (If I Had to Start Over),"What is your opinion on DataCamp? I am trying to find something structured to go through, and this seems like a nice option. What is your opinion? Thank you"
169,How I Would Learn Data Science (If I Had to Start Over),Within  February 2021 I will learn concepts of probability and statistics and try to have a solid foundation on it and then I will jump into programming ( preferably R).
170,How I Would Learn Data Science (If I Had to Start Over),"Hi

I have no idea about phyton and R. How many month it takes to learn?"
171,How I Would Learn Data Science (If I Had to Start Over),"I am a high school student and I'm looking forward to be an ML engineer.
I also really enjoy coding in general(school is teaching HTML so basics but i enjoy it u knw).
Also I'm willing to learn python in my vacations *lmao nerds* 
Do u suggest going in the field?
I'm kinda scared by the pressure of work tho hehe"
172,How I Would Learn Data Science (If I Had to Start Over),"1:20

Thank me later."
